target_class,N_targets,AUROC_mean,AUROC_median,BEDROC_median,EF1_median
Polymerase,1,1.0,1.0,0.7983,2.091
Nucleotide Binding,1,1.0,1.0,0.685,2.154
Phosphodiesterase,2,0.9992,0.9992,0.882,1.445
Ion Channel,5,0.9548,0.9974,0.8912,1.253
Kinase,31,0.9231,0.9902,0.9257,1.079
Immune,3,0.9763,0.988,0.9579,1.117
Structural,4,0.9692,0.9692,0.9334,1.0985
Epigenetic,21,0.9099,0.9563,0.8374,1.189
GPCR,32,0.9225,0.9552,0.9253,1.043
Oxidoreductase,18,0.903,0.9531,0.894,1.176
Protease,36,0.9049,0.9423,0.8886,1.2805
Proteasome,4,0.9418,0.9422,0.7032,1.838
Chaperone,2,0.938,0.938,0.9532,1.21
Transferase,4,0.9343,0.9337,0.9276,1.0785
Isomerase,4,0.9215,0.9322,0.7376,1.7095
Hydrolase,7,0.8506,0.9311,0.8487,1.5
Lyase,11,0.8477,0.8735,0.9478,1.163
Other,7,0.8087,0.8474,0.6996,1.531
Metabolic,2,0.5973,0.5973,0.4385,0.5255
Transporter,3,0.6495,0.5455,0.2917,0.0
