uniprot_id,target_class,model,feature_set,AUROC
O60674,Kinase,RandomForest,morgan,1.0
O60674,Kinase,XGBoost,morgan,1.0
O60674,Kinase,RandomForest,desc,0.998
O60674,Kinase,XGBoost,desc,0.9992
O60674,Kinase,RandomForest,combined,1.0
O60674,Kinase,XGBoost,combined,1.0
P23458,Kinase,RandomForest,morgan,
P23458,Kinase,XGBoost,morgan,
P23458,Kinase,RandomForest,desc,
P23458,Kinase,XGBoost,desc,
P23458,Kinase,RandomForest,combined,
P23458,Kinase,XGBoost,combined,
Q06187,Kinase,RandomForest,morgan,0.9712
Q06187,Kinase,XGBoost,morgan,0.9509
Q06187,Kinase,RandomForest,desc,0.9679
Q06187,Kinase,XGBoost,desc,0.911
Q06187,Kinase,RandomForest,combined,0.9332
Q06187,Kinase,XGBoost,combined,0.9259
P00533,GPCR,RandomForest,morgan,0.9395
P00533,GPCR,XGBoost,morgan,0.9298
P00533,GPCR,RandomForest,desc,0.9351
P00533,GPCR,XGBoost,desc,0.9417
P00533,GPCR,RandomForest,combined,0.9412
P00533,GPCR,XGBoost,combined,0.9475
O00329,Kinase,RandomForest,morgan,0.9995
O00329,Kinase,XGBoost,morgan,0.869
O00329,Kinase,RandomForest,desc,0.9714
O00329,Kinase,XGBoost,desc,0.9173
O00329,Kinase,RandomForest,combined,0.9916
O00329,Kinase,XGBoost,combined,0.9542
P56817,Protease,RandomForest,morgan,0.9871
P56817,Protease,XGBoost,morgan,0.9948
P56817,Protease,RandomForest,desc,0.9923
P56817,Protease,XGBoost,desc,0.9949
P56817,Protease,RandomForest,combined,0.9952
P56817,Protease,XGBoost,combined,0.9976
P29274,GPCR,RandomForest,morgan,0.9764
P29274,GPCR,XGBoost,morgan,0.9566
P29274,GPCR,RandomForest,desc,0.9909
P29274,GPCR,XGBoost,desc,0.9884
P29274,GPCR,RandomForest,combined,0.9893
P29274,GPCR,XGBoost,combined,0.9893
Q13547,Epigenetic,RandomForest,morgan,0.9483
Q13547,Epigenetic,XGBoost,morgan,0.9505
Q13547,Epigenetic,RandomForest,desc,0.9205
Q13547,Epigenetic,XGBoost,desc,0.9311
Q13547,Epigenetic,RandomForest,combined,0.9239
Q13547,Epigenetic,XGBoost,combined,0.9387
P42336,Kinase,RandomForest,morgan,
P42336,Kinase,XGBoost,morgan,
P42336,Kinase,RandomForest,desc,
P42336,Kinase,XGBoost,desc,
P42336,Kinase,RandomForest,combined,
P42336,Kinase,XGBoost,combined,
P14416,GPCR,RandomForest,morgan,0.998
P14416,GPCR,XGBoost,morgan,0.9967
P00918,Lyase,RandomForest,morgan,0.9117
P00918,Lyase,XGBoost,morgan,0.9015
P24941,Kinase,RandomForest,morgan,0.9289
P24941,Kinase,XGBoost,morgan,0.9185
P24941,Kinase,RandomForest,desc,0.8097
P24941,Kinase,XGBoost,desc,0.8361
P24941,Kinase,RandomForest,combined,0.8542
P24941,Kinase,XGBoost,combined,0.8602
P35968,GPCR,RandomForest,morgan,0.9766
P35968,GPCR,XGBoost,morgan,0.9658
P35968,GPCR,RandomForest,desc,0.9583
P35968,GPCR,XGBoost,desc,0.979
P35968,GPCR,RandomForest,combined,0.9697
P35968,GPCR,XGBoost,combined,0.9723
P29597,Kinase,RandomForest,morgan,0.994
P29597,Kinase,XGBoost,morgan,0.9944
P29597,Kinase,RandomForest,desc,0.9914
P29597,Kinase,XGBoost,desc,0.9937
P29597,Kinase,RandomForest,combined,0.9925
P29597,Kinase,XGBoost,combined,0.9936
P52333,Kinase,RandomForest,morgan,
P52333,Kinase,XGBoost,morgan,
P52333,Kinase,RandomForest,desc,
P52333,Kinase,XGBoost,desc,
P52333,Kinase,RandomForest,combined,
P52333,Kinase,XGBoost,combined,
P28482,Kinase,RandomForest,morgan,
P28482,Kinase,XGBoost,morgan,
P28482,Kinase,RandomForest,desc,
P28482,Kinase,XGBoost,desc,
P28482,Kinase,RandomForest,combined,
P28482,Kinase,XGBoost,combined,
Q9UBN7,Epigenetic,RandomForest,morgan,0.977
