uniprot_id,AUROC_kidkd,AUROC_mixed,delta
O43570,0.7731,0.7727,0.0004
P00734,0.9231,0.7676,0.1555
P00742,0.9993,0.9952,0.0041
P00747,0.9911,0.9864,0.0047
P00749,0.9804,0.9934,-0.013
P00750,0.9496,0.8846,0.065
P00915,0.8979,0.8874,0.0105
P00918,0.8968,0.9015,-0.0047
P07451,0.9479,0.9471,0.0008
P07550,0.8148,0.865,-0.0502
P07711,0.9944,0.8709,0.1235
P07858,0.9986,0.9824,0.0162
P07900,0.994,0.9831,0.0109
P08238,0.418,0.893,-0.475
P08246,0.8628,0.9689,-0.1061
P08588,1.0,0.9939,0.0061
P08912,0.9134,0.9147,-0.0013
P0DMS8,0.9494,0.9537,-0.0043
P18031,0.9952,0.998,-0.0028
P22303,0.8462,0.892,-0.0458
P22748,0.9694,0.9723,-0.0029
P29274,0.8395,0.9566,-0.1171
P30542,0.9607,0.9922,-0.0315
P35218,0.9102,0.8735,0.0367
P43166,0.7216,0.7216,0.0
P43235,0.9382,0.9434,-0.0052
P56817,0.9764,0.9948,-0.0184
P62942,1.0,1.0,0.0
Q02127,1.0,0.9969,0.0031
Q16790,0.8086,0.848,-0.0394
