uniprot_id,auroc_scaffold,auroc_random,inflation
Q06187,0.9712,0.9522,-0.018999999999999906
P00533,0.9395,0.9841,0.04459999999999997
O00329,0.9995,0.9987,-0.0008000000000000229
P56817,0.9871,0.9887,0.0016000000000000458
P29274,0.9764,0.9749,-0.0015000000000000568
Q13547,0.9483,0.9968,0.04849999999999999
P14416,0.998,0.9786,-0.019399999999999973
P00918,0.9117,0.9942,0.08250000000000002
P24941,0.9289,0.9902,0.06130000000000002
P35968,0.9766,0.9772,0.0005999999999999339
P29597,0.994,0.9976,0.0036000000000000476
Q9UBN7,0.977,0.9726,-0.0043999999999999595
P35372,0.9954,0.9134,-0.08199999999999996
P00915,0.9041,0.9848,0.0807
P49841,0.9784,0.9957,0.017299999999999982
Q16790,0.9454,0.9948,0.0494
P15056,0.997,0.9934,-0.0036000000000000476
O60341,0.9929,0.9816,-0.011299999999999977
P30542,0.991,0.9866,-0.0043999999999999595
P00742,0.9933,0.9904,-0.0029000000000000137
P48736,0.9969,0.987,-0.00990000000000002
P0DMS8,0.9796,0.9963,0.016699999999999937
P11802,0.7271,0.9965,0.2694000000000001
P31645,0.9235,0.9835,0.06000000000000005
P27487,0.9881,0.9958,0.00770000000000004
P42345,0.9769,0.9923,0.01539999999999997
Q16539,0.999,0.9784,-0.02059999999999995
O43570,0.7608,0.9969,0.23609999999999998
P21554,0.9918,0.9922,0.00039999999999995595
P43405,0.998,0.991,-0.007000000000000006
Q8NER1,0.9984,0.9994,0.0010000000000000009
P22303,0.895,0.983,0.08799999999999997
P41143,0.9492,0.9687,0.019499999999999962
Q12809,0.9265,0.9713,0.04480000000000006
P14902,0.9655,0.9841,0.01859999999999995
P09619,0.9922,0.9931,0.0009000000000000119
P35354,0.7574,0.9171,0.15970000000000006
P07339,1.0,0.9987,-0.0012999999999999678
P23975,0.9996,0.9757,-0.023900000000000032
P00519,0.9866,0.9759,-0.010700000000000043
P08246,0.9501,0.9982,0.04810000000000003
P45452,0.9922,0.9985,0.006300000000000083
P00797,0.9991,0.9877,-0.011399999999999966
O14757,1.0,0.9978,-0.0021999999999999797
O15379,0.9783,0.9606,-0.017699999999999938
P14780,0.866,0.9783,0.11229999999999996
P41594,0.9045,0.9843,0.07979999999999998
P37231,0.9606,0.971,0.010399999999999965
Q01959,1.0,0.9967,-0.0032999999999999696
Q92769,0.9672,0.9924,0.0252
Q00987,1.0,0.9961,-0.0039000000000000146
Q02127,0.9966,0.9978,0.0011999999999999789
P10275,0.8799,0.9926,0.11270000000000002
Q9BY41,0.986,0.9951,0.009099999999999997
Q96GD4,0.8313,0.9976,0.1663
P25774,0.9749,0.9674,-0.007499999999999951
P06493,0.9656,0.9829,0.017299999999999982
P25103,0.8089,0.8617,0.05280000000000007
P06276,0.9677,0.9814,0.013700000000000045
Q96RI1,0.9608,0.9922,0.031399999999999983
P01375,1.0,0.9976,-0.0023999999999999577
P43235,0.8679,0.9963,0.12839999999999996
O76074,1.0,0.9918,-0.008199999999999985
P07550,0.8172,0.9949,0.17769999999999997
P18031,0.9985,0.992,-0.006500000000000061
P08684,0.9771,0.9598,-0.017299999999999982
P11511,0.9362,0.9627,0.026499999999999968
P43166,0.873,0.9411,0.06810000000000005
Q96P20,0.9908,0.9817,-0.009099999999999997
P07711,0.9932,0.9843,-0.008900000000000019
P05106,0.9798,0.9917,0.011900000000000022
P07477,0.996,0.9908,-0.005199999999999982
P07900,0.979,0.9844,0.005400000000000071
P14867,0.9953,0.9959,0.0006000000000000449
P15538,1.0,0.9983,-0.0017000000000000348
P08588,0.9979,0.9942,-0.0037000000000000366
P25100,0.9504,0.9891,0.03869999999999996
P09917,0.982,0.9877,0.005700000000000038
Q13546,1.0,1.0,0.0
P45983,0.9072,0.981,0.07379999999999998
P22894,0.9185,0.9817,0.06320000000000003
P17948,1.0,0.9859,-0.014100000000000001
Q13574,0.8815,0.9977,0.11620000000000008
P22748,0.9623,0.9516,-0.010700000000000043
P17252,1.0,0.9938,-0.006199999999999983
Q15078,0.9261,0.9848,0.058699999999999974
Q9H244,0.9156,0.9654,0.049800000000000066
P49354,0.9358,0.9727,0.036900000000000044
P08238,0.927,0.9746,0.047599999999999976
Q16853,0.5386,0.992,0.4534
Q6V1X1,0.7894,0.9361,0.14670000000000005
P49137,0.9984,0.9993,0.0009000000000000119
P12931,0.9848,0.999,0.01419999999999999
P07858,0.9792,0.9629,-0.01629999999999998
P42574,0.9299,0.9383,0.008400000000000074
Q86TI2,0.7945,0.9797,0.18520000000000003
Q9GZT9,0.9594,0.9897,0.030299999999999994
P09960,0.9567,0.9965,0.03980000000000006
P05177,0.9906,0.9736,-0.017000000000000015
P00749,0.9949,0.9952,0.00029999999999996696
P28074,0.9664,0.9638,-0.0026000000000000467
P56524,0.9193,0.9813,0.061999999999999944
P00338,0.9937,0.9891,-0.0046000000000000485
P53350,0.9455,0.9965,0.051000000000000045
P05186,0.9145,0.9728,0.05830000000000002
Q9UHL4,0.9158,0.9784,0.0626000000000001
P39900,0.9463,0.9911,0.04479999999999995
P29475,0.9365,0.982,0.045499999999999985
Q93009,0.9503,0.9344,-0.015900000000000025
P00747,0.9912,0.9943,0.0030999999999999917
P12821,0.8922,0.9934,0.10119999999999996
Q96DB2,1.0,1.0,0.0
P45984,1.0,0.9921,-0.007900000000000018
P06213,1.0,1.0,0.0
P11712,0.8397,0.9324,0.0927
P00734,0.8414,0.9813,0.1398999999999999
P28062,1.0,0.9995,-0.0004999999999999449
P08912,0.9186,0.9647,0.04610000000000003
P98170,0.9968,0.9938,-0.0030000000000000027
P35228,0.7028,0.9659,0.2631
P23946,0.8095,0.9352,0.12570000000000003
P29466,0.9978,0.9971,-0.0007000000000000339
P48775,0.8726,0.9688,0.09619999999999995
P14920,0.974,0.991,0.017000000000000015
P35218,0.8364,0.9875,0.1511
P48067,0.8368,0.9526,0.11580000000000001
P47989,0.9452,0.9709,0.025699999999999945
P20701,0.9993,0.9849,-0.014399999999999968
P11597,0.818,0.9903,0.1723
P04062,0.4024,0.912,0.5096
P62942,1.0,0.9991,-0.0009000000000000119
O96017,1.0,1.0,0.0
P08842,0.974,0.9504,-0.023599999999999954
P55210,0.7791,0.9923,0.21319999999999995
P17706,1.0,0.9934,-0.00660000000000005
Q9UQL6,0.9947,0.9689,-0.025800000000000045
Q8IXJ6,0.883,0.9762,0.09319999999999995
P42785,0.9949,1.0,0.005099999999999993
P51812,0.9532,0.975,0.02179999999999993
P33261,0.9173,0.9329,0.015599999999999947
P09237,0.9311,0.9552,0.02410000000000001
P07099,0.9974,1.0,0.0026000000000000467
Q96EB6,0.9828,0.9274,-0.055400000000000005
Q16531,1.0,1.0,0.0
Q969S8,1.0,0.9776,-0.022399999999999975
Q86WV6,0.3618,0.9805,0.6187
P21397,0.6981,0.9736,0.27549999999999997
Q9UKV0,0.9533,0.9978,0.044499999999999984
P32297,0.9464,1.0,0.05359999999999998
P35236,0.8485,0.9357,0.08719999999999994
P33316,1.0,1.0,0.0
P14324,0.6111,0.8488,0.23770000000000002
P15144,0.9519,0.9523,0.00040000000000006697
Q00535,1.0,0.9683,-0.03169999999999995
O95551,1.0,1.0,0.0
P17612,1.0,0.9683,-0.03169999999999995
P00750,0.9359,0.9663,0.030400000000000094
P07451,0.9686,0.858,-0.11060000000000003
Q9UGN5,1.0,1.0,0.0
Q8WUI4,0.87,0.9528,0.08279999999999998
P14174,0.9136,0.9259,0.012299999999999978
Q96LD8,0.9583,0.8711,-0.08720000000000006
P11509,0.8667,0.8288,-0.037900000000000045
Q9H7Z6,0.954,1.0,0.04600000000000004
P51452,1.0,0.8451,-0.15490000000000004
P35869,0.1979,0.9762,0.7783
P80365,1.0,1.0,0.0
Q14790,1.0,1.0,0.0
O95749,0.7104,0.942,0.23159999999999992
P62937,1.0,1.0,0.0
Q9HCG7,0.9803,1.0,0.01970000000000005
P53985,0.8802,0.9435,0.06330000000000002
Q13526,0.8974,0.9917,0.09430000000000005
Q99571,1.0,0.9821,-0.017900000000000027
P36222,0.6361,0.9208,0.28469999999999995
O95180,1.0,0.9952,-0.0048000000000000265
P43003,0.6636,0.9221,0.25850000000000006
Q9H2X9,0.5125,0.8333,0.3208000000000001
P23526,0.8077,0.9156,0.1079
P49721,0.9293,0.9327,0.0033999999999999586
Q8TEK3,0.9762,1.0,0.023800000000000043
Q9NZ08,1.0,0.9905,-0.009499999999999953
P11388,0.6643,0.8435,0.17920000000000003
P08311,0.5357,0.861,0.32530000000000003
Q6PL18,1.0,0.9861,-0.013900000000000023
P62993,0.7,0.9537,0.25370000000000004
Q99895,1.0,0.9,-0.09999999999999998
Q6P179,1.0,0.8485,-0.15149999999999997
P20618,1.0,1.0,0.0
P14679,0.5469,0.9762,0.4292999999999999
P05413,0.7583,0.9205,0.1622
P04066,0.9735,0.9278,-0.045700000000000074
P53582,0.9,0.9351,0.03510000000000002
P34947,0.8444,0.961,0.11659999999999993
Q8IU80,1.0,1.0,0.0
Q9BYT3,1.0,1.0,0.0
P02766,1.0,0.9714,-0.02859999999999996
P00748,0.6111,0.7639,0.15280000000000005
