uniprot_id,n_compounds,scaffold_count,scaffold_diversity,mean_tanimoto_dist
P42574,848,381,0.4492924528301887,0.8296284617247154
P29466,515,285,0.5533980582524272,0.8070897409977058
P49662,24,19,0.7916666666666666,
P55210,363,142,0.39118457300275483,0.7798802995391706
P55212,91,35,0.38461538461538464,0.7076807416533581
Q14790,173,104,0.6011560693641619,0.7926147701498448
P42575,38,24,0.631578947368421,0.6662581292283243
Q05469,301,127,0.4219269102990033,0.7960893103820628
Q02750,972,318,0.3271604938271605,0.8120647486733222
P28845,2784,1122,0.40301724137931033,0.8589298044597122
O60674,12519,4591,0.3667225816758527,0.8426561744726027
P52333,6464,2385,0.3689665841584158,0.8370566155159636
P00533,8561,3237,0.3781100338745474,0.8396849167841633
P12931,910,378,0.4153846153846154,0.8056800116748367
P06493,1964,812,0.4134419551934827,0.8531941581166221
P11362,3642,1525,0.4187259747391543,0.8336826072947097
P09619,2752,1246,0.45276162790697677,0.828713695181805
P17252,961,374,0.3891779396462019,0.8590899160371545
P05771,642,275,0.42834890965732086,0.7804005409747111
P05129,138,94,0.6811594202898551,0.7892105385907917
Q05655,612,292,0.477124183006536,0.8380953987484359
Q02156,308,156,0.5064935064935064,0.8439141606148715
P24723,233,125,0.5364806866952789,0.811782775363087
Q05513,106,65,0.6132075471698113,0.8379166580373315
P08581,4096,1697,0.414306640625,0.8226904098591911
P23946,519,158,0.3044315992292871,0.8104900458207869
P01275,97,46,0.4742268041237113,0.5862853813799292
P24941,7151,2548,0.3563138022654174,0.8519532862092264
P35968,6655,2581,0.38782870022539445,0.8488680879495083
P04626,273,120,0.43956043956043955,0.7899940973950543
P17948,1021,457,0.4476003917727718,0.8412029499548402
P10721,1854,754,0.40668824163969797,0.7457888084048461
P43403,176,92,0.5227272727272727,0.8150517047247341
P43405,3580,1570,0.43854748603351956,0.8202691530368856
P62993,117,53,0.452991452991453,0.6991785876222152
P11802,4278,1676,0.39177185600748016,0.8131306187360601
Q02763,524,234,0.44656488549618323,0.8345764856338702
P00519,2532,1096,0.43285939968404424,0.8218245991261222
P21802,3668,1492,0.40676117775354415,0.8212861609150311
P06239,663,272,0.41025641025641024,0.7204720128654201
